Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF259130,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259131,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259132,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259133,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259134,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259135,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259136,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259137,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259138,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259139,Porte sectionnelle,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259140,Barrière Levante,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259141,Barrière Levante,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259143,Portail,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259142,Porte automatique,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
1,Agence Genas,AF259144,Porte automatique,Non,913 AV DES TEMPS MODERNES,ST PRIEST,21,AMAZON,Romain RICORDEAU ,"913 AV DES TEMPS MODERNES, ST PRIEST, France",4.9136747,45.7103364
